DATE,EMVMACROCONSUME
2022-02-01,1.26170
2022-03-01,2.01014
2022-04-01,1.90410
2022-05-01,4.54278
2022-06-01,3.31417
2022-07-01,4.30169
2022-08-01,1.19656
2022-09-01,1.46622
2022-10-01,1.59393
2022-11-01,1.78447
2022-12-01,0.95646
2023-01-01,1.51054
2023-02-01,1.42086
2023-03-01,1.17391
2023-04-01,0.31884
2023-05-01,2.71988
2023-06-01,1.34516
2023-07-01,1.56687
2023-08-01,0.56196
2023-09-01,1.88202
2023-10-01,0.68494
2023-11-01,1.10392
2023-12-01,0.74064
2024-01-01,2.30172
